focus_area_norm,focus_area_simple,sample_count,focus_area_display,specialty,specialty_score,assignment_source,runner_up,runner_up_score,score_margin
autosomal dominant hypocalcemia,autosomal dominant hypocalcemia,5,autosomal dominant hypocalcemia,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
autosomal dominant hyper-ige syndrome,autosomal dominant hyper ige syndrome,5,autosomal dominant hyper-IgE syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006820686,0.9931793138384819
spinal and bulbar muscular atrophy,spinal and bulbar muscular atrophy,5,spinal and bulbar muscular atrophy,Neurology & Neurosurgery,1.0,regex_override,Oncology,0.010460986,0.9895390141755342
autosomal dominant congenital stationary night blindness,autosomal dominant congenital stationary night blindness,5,autosomal dominant congenital stationary night blindness,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
"autoimmune polyglandular syndrome, type 1",autoimmune polyglandular syndrome type 1,5,"autoimmune polyglandular syndrome, type 1",Immunology & Rheumatology,1.0,regex_override,Genetics & Rare Disorders,0.4,0.5999999940395355
spinal muscular atrophy with progressive myoclonic epilepsy,spinal muscular atrophy with progressive myoclonic epilepsy,5,spinal muscular atrophy with progressive myoclonic epilepsy,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
spinal muscular atrophy with respiratory distress type 1,spinal muscular atrophy with respiratory distress type 1,5,spinal muscular atrophy with respiratory distress type 1,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
spinocerebellar ataxia 2,spinocerebellar ataxia 2,5,Spinocerebellar ataxia 2,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
autoimmune lymphoproliferative syndrome,autoimmune lymphoproliferative syndrome,5,autoimmune lymphoproliferative syndrome,Immunology & Rheumatology,1.0,regex_override,Genetics & Rare Disorders,0.4,0.5999999940395355
spastic paraplegia type 15,spastic paraplegia type 15,5,spastic paraplegia type 15,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
autosomal recessive cerebellar ataxia type 1,autosomal recessive cerebellar ataxia type 1,5,autosomal recessive cerebellar ataxia type 1,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
spinocerebellar ataxia type 2,spinocerebellar ataxia type 2,5,spinocerebellar ataxia type 2,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spastic paraplegia type 11,spastic paraplegia type 11,5,spastic paraplegia type 11,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
sjgren-larsson syndrome,sjgren larsson syndrome,5,Sjgren-Larsson syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008232925,0.9917670749127865
back pain,back pain,5,Back Pain,Musculoskeletal & Orthopedics,1.0,regex_override,General & Preventive Medicine,0.0,1.0
small fiber neuropathy,small fiber neuropathy,5,small fiber neuropathy,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
smith-lemli-opitz syndrome,smith lemli opitz syndrome,5,Smith-Lemli-Opitz syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006774092,0.9932259079068899
smith-magenis syndrome,smith magenis syndrome,5,Smith-Magenis syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008175662,0.9918243382126093
axenfeld-rieger syndrome,axenfeld rieger syndrome,5,Axenfeld-Rieger syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008658659,0.9913413412868977
autosomal recessive spastic ataxia of charlevoix-saguenay,autosomal recessive spastic ataxia of charlevoix saguenay,5,autosomal recessive spastic ataxia of Charlevoix-Saguenay,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
smoking and the digestive system,smoking and the digestive system,5,Smoking and the Digestive System,General & Preventive Medicine,0.04851577430963516,fallback_default,Pulmonology & Respiratory,0.04143765,0.007078126072883606
autosomal recessive primary microcephaly,autosomal recessive primary microcephaly,5,autosomal recessive primary microcephaly,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.030409796,0.9695902038365602
sost-related sclerosing bone dysplasia,sost related sclerosing bone dysplasia,5,SOST-related sclerosing bone dysplasia,Musculoskeletal & Orthopedics,1.0,regex_override,Hematology,0.033961844,0.9660381563007832
sox2 anophthalmia syndrome,sox2 anophthalmia syndrome,5,SOX2 anophthalmia syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008026777,0.9919732231646776
autosomal recessive hypotrichosis,autosomal recessive hypotrichosis,5,autosomal recessive hypotrichosis,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
autosomal recessive hyper-ige syndrome,autosomal recessive hyper ige syndrome,5,autosomal recessive hyper-IgE syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006880346,0.9931196537800133
autosomal recessive congenital stationary night blindness,autosomal recessive congenital stationary night blindness,5,autosomal recessive congenital stationary night blindness,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
autosomal recessive congenital methemoglobinemia,autosomal recessive congenital methemoglobinemia,5,autosomal recessive congenital methemoglobinemia,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
spinocerebellar ataxia type 1,spinocerebellar ataxia type 1,5,spinocerebellar ataxia type 1,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spinocerebellar ataxia type 3,spinocerebellar ataxia type 3,5,spinocerebellar ataxia type 3,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
swyer syndrome,swyer syndrome,5,Swyer syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011358343,0.988641656935215
ataxia neuropathy spectrum,ataxia neuropathy spectrum,5,ataxia neuropathy spectrum,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
stickler syndrome,stickler syndrome,5,Stickler syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.012017287,0.9879827126860619
asphyxiating thoracic dystrophy,asphyxiating thoracic dystrophy,5,asphyxiating thoracic dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
stormorken syndrome,stormorken syndrome,5,Stormorken syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
aspartylglucosaminuria,aspartylglucosaminuria,5,aspartylglucosaminuria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
stve-wiedemann syndrome,stve wiedemann syndrome,5,Stve-Wiedemann syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008341337,0.9916586633771658
succinate-coa ligase deficiency,succinate coa ligase deficiency,5,succinate-CoA ligase deficiency,General & Preventive Medicine,0.01777750253677368,fallback_default,General & Preventive Medicine,0.0,0.01777750253677368
succinyl-coa:3-ketoacid coa transferase deficiency,succinyl coa 3 ketoacid coa transferase deficiency,5,succinyl-CoA:3-ketoacid CoA transferase deficiency,General & Preventive Medicine,0.01301889680325985,fallback_default,General & Preventive Medicine,0.0,0.01301889680325985
sudden infant death with dysgenesis of the testes syndrome,sudden infant death with dysgenesis of the testes syndrome,5,sudden infant death with dysgenesis of the testes syndrome,Pediatrics & Development,1.0,regex_override,Pediatrics & Development,0.35,0.6500000059604645
arterial tortuosity syndrome,arterial tortuosity syndrome,5,arterial tortuosity syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008208098,0.9917919021099806
supravalvular aortic stenosis,supravalvular aortic stenosis,5,supravalvular aortic stenosis,Cardiology & Vascular,1.0,regex_override,General & Preventive Medicine,0.0,1.0
arrhythmogenic right ventricular cardiomyopathy,arrhythmogenic right ventricular cardiomyopathy,5,arrhythmogenic right ventricular cardiomyopathy,Cardiology & Vascular,1.0,regex_override,General & Preventive Medicine,0.0,1.0
aromatase deficiency,aromatase deficiency,5,aromatase deficiency,General & Preventive Medicine,0.028787069022655487,fallback_default,General & Preventive Medicine,0.0,0.028787069022655487
surfactant dysfunction,surfactant dysfunction,5,surfactant dysfunction,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
argininosuccinic aciduria,argininosuccinic aciduria,5,argininosuccinic aciduria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
arginine:glycine amidinotransferase deficiency,arginine glycine amidinotransferase deficiency,5,arginine:glycine amidinotransferase deficiency,General & Preventive Medicine,0.017738305032253265,fallback_default,General & Preventive Medicine,0.0,0.017738305032253265
stevens-johnson syndrome/toxic epidermal necrolysis,stevens johnson syndrome toxic epidermal necrolysis,5,Stevens-Johnson syndrome/toxic epidermal necrolysis,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.005241928,0.9947580718435347
ataxia with oculomotor apraxia,ataxia with oculomotor apraxia,5,ataxia with oculomotor apraxia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spinocerebellar ataxia type 36,spinocerebellar ataxia type 36,5,spinocerebellar ataxia type 36,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
stenotrophomonas maltophilia infection,stenotrophomonas maltophilia infection,5,Stenotrophomonas maltophilia infection,Infectious Diseases,0.20000000298023224,anchor_similarity,General & Preventive Medicine,0.0,0.20000000298023224
autoimmune addison disease,autoimmune addison disease,5,autoimmune Addison disease,Immunology & Rheumatology,1.0,regex_override,Dermatology,0.07840339,0.9215966090559959
spinocerebellar ataxia type 6,spinocerebellar ataxia type 6,5,spinocerebellar ataxia type 6,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spondylocostal dysostosis,spondylocostal dysostosis,5,spondylocostal dysostosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
atypical hemolytic-uremic syndrome,atypical hemolytic uremic syndrome,5,atypical hemolytic-uremic syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0074870917,0.9925129082985222
spondyloenchondrodysplasia with immune dysregulation,spondyloenchondrodysplasia with immune dysregulation,5,spondyloenchondrodysplasia with immune dysregulation,Immunology & Rheumatology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
"spondyloepimetaphyseal dysplasia, strudwick type",spondyloepimetaphyseal dysplasia strudwick type,5,"spondyloepimetaphyseal dysplasia, Strudwick type",Genetics & Rare Disorders,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
spondyloperipheral dysplasia,spondyloperipheral dysplasia,5,spondyloperipheral dysplasia,Genetics & Rare Disorders,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
sporadic hemiplegic migraine,sporadic hemiplegic migraine,5,sporadic hemiplegic migraine,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
stargardt disease,stargardt disease,5,Stargardt disease,General & Preventive Medicine,0.06541574001312256,fallback_default,Pulmonology & Respiratory,0.05821608,0.0071996599435806274
atopic dermatitis,atopic dermatitis,5,atopic dermatitis,Dermatology,0.3499999940395355,anchor_similarity,General & Preventive Medicine,0.0,0.3499999940395355
stargardt macular degeneration,stargardt macular degeneration,5,Stargardt macular degeneration,General & Preventive Medicine,0.17341038584709167,fallback_default,General & Preventive Medicine,0.0,0.17341038584709167
atelosteogenesis type 3,atelosteogenesis type 3,5,atelosteogenesis type 3,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
atelosteogenesis type 2,atelosteogenesis type 2,5,atelosteogenesis type 2,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
ataxia-telangiectasia,ataxia telangiectasia,5,ataxia-telangiectasia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
ataxia with vitamin e deficiency,ataxia with vitamin e deficiency,5,ataxia with vitamin E deficiency,General & Preventive Medicine,0.020170168951153755,fallback_pattern,General & Preventive Medicine,0.0,0.020170168951153755
sjgren syndrome,sjgren syndrome,5,Sjgren syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.012175822,0.9878241783007979
bannayan-riley-ruvalcaba syndrome,bannayan riley ruvalcaba syndrome,5,Bannayan-Riley-Ruvalcaba syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.006602339,0.9933976610191166
situs inversus,situs inversus,5,Situs inversus,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
ren-related kidney disease,ren related kidney disease,5,REN-related kidney disease,Nephrology & Urology,1.0,regex_override,Gastroenterology & Hepatology,0.043627445,0.9563725553452969
renal nutcracker syndrome,renal nutcracker syndrome,5,Renal nutcracker syndrome,Nephrology & Urology,1.0,regex_override,Genetics & Rare Disorders,0.4,0.5999999940395355
bloom syndrome,bloom syndrome,5,Bloom syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
renpenning syndrome,renpenning syndrome,5,Renpenning syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
retinitis pigmentosa,retinitis pigmentosa,5,retinitis pigmentosa,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"blepharophimosis, ptosis, and epicanthus inversus syndrome",blepharophimosis ptosis and epicanthus inversus syndrome,5,"blepharophimosis, ptosis, and epicanthus inversus syndrome",Genetics & Rare Disorders,1.0,regex_override,Neurology & Neurosurgery,0.00975862,0.9902413804084063
blau syndrome,blau syndrome,5,Blau syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
rhizomelic chondrodysplasia punctata,rhizomelic chondrodysplasia punctata,5,rhizomelic chondrodysplasia punctata,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
bjrnstad syndrome,bjrnstad syndrome,5,Bjrnstad syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
ring chromosome 14 syndrome,ring chromosome 14 syndrome,5,ring chromosome 14 syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0072765453,0.992723454721272
ring chromosome 20 syndrome,ring chromosome 20 syndrome,5,ring chromosome 20 syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0073449314,0.9926550686359406
rippling muscle disease,rippling muscle disease,5,rippling muscle disease,Musculoskeletal & Orthopedics,1.0,regex_override,Gastroenterology & Hepatology,0.04928282,0.9507171809673309
romano-ward syndrome,romano ward syndrome,5,Romano-Ward syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
birt-hogg-dub syndrome,birt hogg dub syndrome,5,Birt-Hogg-Dub syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0066532954,0.9933467046357691
rothmund-thomson syndrome,rothmund thomson syndrome,5,Rothmund-Thomson syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
